Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
12/4/2025,1,($374.95),$4.35,$4.35,$0.00,$1.90,($374.95),$0.00,100.00%,$4.35,$4.35,$0.00,$4.35,$0.00,5.00,$3.75,$10.00,$5.65,0.40%,
12/10/2025,1,($423.10),($48.15),$0.00,($48.15),$1.90,($423.10),($48.15),0.00%,($48.15),$0.00,($48.15),$0.00,($48.15),5.00,$46.25,$8.75,$56.90,0.40%,
12/11/2025,3,($426.30),($3.20),$25.60,($28.80),$5.70,($451.90),($28.80),33.33%,($1.07),$25.60,($14.40),$25.60,($14.40),305.00,$10.42,$11.67,$12.73,1.21%,
12/16/2025,1,($391.95),$34.35,$34.35,$0.00,$1.90,($391.95),$0.00,100.00%,$34.35,$34.35,$0.00,$34.35,$0.00,10.00,$8.75,$36.25,$1.90,0.40%,
12/17/2025,2,($375.75),$16.20,$18.10,($1.90),$3.80,($393.85),($1.90),50.00%,$8.10,$18.10,($1.90),$18.10,($1.90),5.00,$12.50,$26.25,$18.15,0.81%,
12/18/2025,1,($393.90),($18.15),$0.00,($18.15),$1.90,($393.90),($18.15),0.00%,($18.15),$0.00,($18.15),$0.00,($18.15),10.00,$16.25,$8.75,$26.90,0.40%,
12/29/2025,1,($389.55),$4.35,$4.35,$0.00,$1.90,($389.55),$0.00,100.00%,$4.35,$4.35,$0.00,$4.35,$0.00,0.00,$0.00,$6.25,$1.90,0.40%,
1/2/2026,1,($430.20),($40.65),$0.00,($40.65),$1.90,($430.20),($40.65),0.00%,($40.65),$0.00,($40.65),$0.00,($40.65),0.00,$38.75,$0.00,$40.65,0.40%,
1/5/2026,1,($438.35),($8.15),$0.00,($8.15),$1.90,($438.35),($8.15),0.00%,($8.15),$0.00,($8.15),$0.00,($8.15),0.00,$6.25,$0.00,$8.15,0.40%,
1/6/2026,3,($481.55),($43.20),$0.00,($43.20),$5.70,($481.55),($43.20),0.00%,($14.40),$0.00,($14.40),$0.00,($16.90),85.00,$12.50,$1.67,$16.07,1.21%,
1/8/2026,3,($389.75),$91.80,$91.80,$0.00,$5.70,($463.45),$0.00,100.00%,$30.60,$30.60,$0.00,$36.85,$0.00,0.00,$1.67,$32.50,$1.90,1.21%,
1/13/2026,1,($366.65),$23.10,$23.10,$0.00,$1.90,($366.65),$0.00,100.00%,$23.10,$23.10,$0.00,$23.10,$0.00,0.00,$0.00,$25.00,$1.90,0.40%,
1/20/2026,3,($438.60),($71.95),$0.00,($71.95),$5.70,($438.60),($71.95),0.00%,($23.98),$0.00,($23.98),$0.00,($28.15),295.00,$22.08,$9.17,$33.15,1.21%,
1/21/2026,2,($478.65),($40.05),$0.00,($40.05),$3.80,($478.65),($40.05),0.00%,($20.03),$0.00,($20.03),$0.00,($31.90),120.00,$18.13,$15.63,$35.65,0.81%,
1/22/2026,2,($436.20),$42.45,$42.45,$0.00,$3.80,($469.30),$0.00,100.00%,$21.23,$21.23,$0.00,$33.10,$0.00,0.00,$0.00,$23.13,$1.90,0.81%,
1/29/2026,1,($445.60),($9.40),$0.00,($9.40),$1.90,($445.60),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),0.00,$7.50,$0.00,$9.40,0.40%,
2/3/2026,2,($509.40),($63.80),$0.00,($63.80),$3.80,($509.40),($63.80),0.00%,($31.90),$0.00,($31.90),$0.00,($31.90),10.00,$30.00,$51.25,$83.15,0.81%,
2/4/2026,5,($402.65),$106.75,$112.45,($5.70),$9.50,($446.95),($3.80),40.00%,$21.35,$56.23,($1.90),$64.35,($1.90),300.00,$1.25,$28.00,$6.65,2.02%,
2/5/2026,1,($414.55),($11.90),$0.00,($11.90),$1.90,($414.55),($11.90),0.00%,($11.90),$0.00,($11.90),$0.00,($11.90),0.00,$10.00,$0.00,$11.90,0.40%,
2/11/2026,1,($442.70),($28.15),$0.00,($28.15),$1.90,($442.70),($28.15),0.00%,($28.15),$0.00,($28.15),$0.00,($28.15),0.00,$26.25,$0.00,$28.15,0.40%,
2/12/2026,2,($377.75),$64.95,$64.95,$0.00,$3.80,($417.10),$0.00,100.00%,$32.48,$32.48,$0.00,$39.35,$0.00,0.00,$9.38,$34.38,$1.90,0.81%,
2/17/2026,3,($402.20),($24.45),$0.00,($24.45),$5.70,($402.20),($24.45),0.00%,($8.15),$0.00,($8.15),$0.00,($20.65),370.00,$8.75,$16.67,$24.82,1.21%,
2/18/2026,3,($339.15),$63.05,$64.95,($1.90),$5.70,($366.00),($1.90),66.67%,$21.02,$32.48,($1.90),$38.10,($1.90),0.00,$0.00,$22.92,$1.90,1.21%,
2/19/2026,2,($287.95),$51.20,$53.10,($1.90),$3.80,($287.95),($1.90),50.00%,$25.60,$53.10,($1.90),$53.10,($1.90),5.00,$22.50,$30.63,$5.03,0.81%,
2/23/2026,4,($348.05),($60.10),$0.00,($60.10),$7.60,($348.05),($60.10),0.00%,($15.03),$0.00,($15.03),$0.00,($16.90),430.00,$13.13,$0.00,$15.03,1.62%,
2/24/2026,1,($353.70),($5.65),$0.00,($5.65),$1.90,($353.70),($5.65),0.00%,($5.65),$0.00,($5.65),$0.00,($5.65),5.00,$16.25,$7.50,$13.15,0.40%,
2/26/2026,1,($335.60),$18.10,$18.10,$0.00,$1.90,($335.60),$0.00,100.00%,$18.10,$18.10,$0.00,$18.10,$0.00,10.00,$11.25,$20.00,$1.90,0.40%,
3/2/2026,1,($365.00),($29.40),$0.00,($29.40),$1.90,($365.00),($29.40),0.00%,($29.40),$0.00,($29.40),$0.00,($29.40),5.00,$27.50,$7.50,$36.90,0.40%,
3/3/2026,1,($303.15),$61.85,$61.85,$0.00,$1.90,($303.15),$0.00,100.00%,$61.85,$61.85,$0.00,$61.85,$0.00,0.00,$0.00,$63.75,$1.90,0.40%,
3/5/2026,1,($326.30),($23.15),$0.00,($23.15),$1.90,($326.30),($23.15),0.00%,($23.15),$0.00,($23.15),$0.00,($23.15),0.00,$21.25,$0.00,$23.15,0.40%,
3/6/2026,1,($260.70),$65.60,$65.60,$0.00,$1.90,($260.70),$0.00,100.00%,$65.60,$65.60,$0.00,$65.60,$0.00,15.00,$6.25,$67.50,$1.90,0.40%,
3/10/2026,1,($307.60),($46.90),$0.00,($46.90),$1.90,($307.60),($46.90),0.00%,($46.90),$0.00,($46.90),$0.00,($46.90),0.00,$45.00,$0.00,$46.90,0.40%,
3/11/2026,3,($393.30),($85.70),$0.00,($85.70),$5.70,($393.30),($85.70),0.00%,($28.57),$0.00,($28.57),$0.00,($36.90),5.00,$26.67,$0.00,$28.57,1.21%,
3/13/2026,1,($332.70),$60.60,$60.60,$0.00,$1.90,($332.70),$0.00,100.00%,$60.60,$60.60,$0.00,$60.60,$0.00,5.00,$11.25,$62.50,$1.90,0.40%,
3/18/2026,2,($305.25),$27.45,$38.10,($10.65),$3.80,($305.25),($10.65),50.00%,$13.73,$38.10,($10.65),$38.10,($10.65),375.00,$15.63,$20.00,$6.28,0.81%,
3/19/2026,1,($328.40),($23.15),$0.00,($23.15),$1.90,($328.40),($23.15),0.00%,($23.15),$0.00,($23.15),$0.00,($23.15),0.00,$21.25,$0.00,$23.15,0.40%,
3/20/2026,3,($402.85),($74.45),$0.00,($74.45),$5.70,($402.85),($74.45),0.00%,($24.82),$0.00,($24.82),$0.00,($34.40),305.00,$22.92,$12.92,$37.73,1.21%,
3/23/2026,1,($367.25),$35.60,$35.60,$0.00,$1.90,($367.25),$0.00,100.00%,$35.60,$35.60,$0.00,$35.60,$0.00,0.00,$0.00,$37.50,$1.90,0.40%,
3/31/2026,1,($344.15),$23.10,$23.10,$0.00,$1.90,($344.15),$0.00,100.00%,$23.10,$23.10,$0.00,$23.10,$0.00,0.00,$0.00,$25.00,$1.90,0.40%,
4/1/2026,1,($359.80),($15.65),$0.00,($15.65),$1.90,($359.80),($15.65),0.00%,($15.65),$0.00,($15.65),$0.00,($15.65),0.00,$13.75,$0.00,$15.65,0.40%,
4/8/2026,2,($426.10),($66.30),$0.00,($66.30),$3.80,($426.10),($66.30),0.00%,($33.15),$0.00,($33.15),$0.00,($33.15),5.00,$31.25,$1.25,$34.40,0.81%,
4/13/2026,2,($426.15),($0.05),$25.60,($25.65),$3.80,($451.75),($25.65),50.00%,($0.02),$25.60,($25.65),$25.60,($25.65),195.00,$15.63,$21.25,$21.28,0.81%,
4/15/2026,1,($435.55),($9.40),$0.00,($9.40),$1.90,($435.55),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),15.00,$7.50,$23.75,$33.15,0.40%,
4/16/2026,1,($451.20),($15.65),$0.00,($15.65),$1.90,($451.20),($15.65),0.00%,($15.65),$0.00,($15.65),$0.00,($15.65),5.00,$13.75,$2.50,$18.15,0.40%,
4/17/2026,1,($423.10),$28.10,$28.10,$0.00,$1.90,($423.10),$0.00,100.00%,$28.10,$28.10,$0.00,$28.10,$0.00,0.00,$0.00,$30.00,$1.90,0.40%,
4/20/2026,3,($446.30),($23.20),$0.00,($23.20),$5.70,($446.30),($23.20),0.00%,($7.73),$0.00,($7.73),$0.00,($14.40),55.00,$15.00,$15.00,$22.73,1.21%,
4/21/2026,1,($455.70),($9.40),$0.00,($9.40),$1.90,($455.70),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),5.00,$7.50,$8.75,$18.15,0.40%,
4/23/2026,1,($473.85),($18.15),$0.00,($18.15),$1.90,($473.85),($18.15),0.00%,($18.15),$0.00,($18.15),$0.00,($18.15),0.00,$16.25,$0.00,$18.15,0.40%,
4/24/2026,2,($427.65),$46.20,$46.20,$0.00,$3.80,($450.75),$0.00,100.00%,$23.10,$23.10,$0.00,$23.10,$0.00,15.00,$5.00,$36.25,$13.15,0.81%,
5/1/2026,3,($490.85),($63.20),$0.00,($63.20),$5.70,($490.85),($63.20),0.00%,($21.07),$0.00,($21.07),$0.00,($34.40),50.00,$21.67,$15.00,$36.07,1.21%,
5/4/2026,1,($509.00),($18.15),$0.00,($18.15),$1.90,($509.00),($18.15),0.00%,($18.15),$0.00,($18.15),$0.00,($18.15),0.00,$16.25,$0.00,$18.15,0.40%,
5/6/2026,1,($473.40),$35.60,$35.60,$0.00,$1.90,($473.40),$0.00,100.00%,$35.60,$35.60,$0.00,$35.60,$0.00,15.00,$8.75,$37.50,$1.90,0.40%,
5/12/2026,4,($528.50),($55.10),$15.60,($70.70),$7.60,($528.50),($70.70),25.00%,($13.78),$15.60,($23.57),$15.60,($24.40),80.00,$18.44,$4.38,$18.15,1.62%,
5/19/2026,3,($567.95),($39.45),$0.00,($39.45),$5.70,($567.95),($39.45),0.00%,($13.15),$0.00,($13.15),$0.00,($16.90),415.00,$11.25,$0.00,$13.15,1.21%,
5/28/2026,1,($582.35),($14.40),$0.00,($14.40),$1.90,($582.35),($14.40),0.00%,($14.40),$0.00,($14.40),$0.00,($14.40),5.00,$12.50,$8.75,$23.15,0.40%,
5/29/2026,2,($586.15),($3.80),$0.00,($3.80),$3.80,($586.15),($3.80),0.00%,($1.90),$0.00,($1.90),$0.00,($1.90),15.00,$27.50,$16.25,$18.15,0.81%,
6/1/2026,4,($581.25),$4.90,$71.20,($66.30),$7.60,($652.45),($66.30),50.00%,$1.23,$35.60,($33.15),$35.60,($33.15),185.00,$16.25,$18.75,$17.53,1.62%,
6/3/2026,2,($605.05),($23.80),$0.00,($23.80),$3.80,($605.05),($23.80),0.00%,($11.90),$0.00,($11.90),$0.00,($11.90),10.00,$21.25,$17.50,$29.40,0.81%,
6/5/2026,1,($620.70),($15.65),$0.00,($15.65),$1.90,($620.70),($15.65),0.00%,($15.65),$0.00,($15.65),$0.00,($15.65),0.00,$13.75,$0.00,$15.65,0.40%,
6/8/2026,4,($599.55),$21.15,$35.60,($14.45),$7.60,($631.35),($10.65),25.00%,$5.29,$35.60,($4.82),$35.60,($10.65),25.00,$10.94,$21.88,$16.59,1.62%,
6/9/2026,1,($636.45),($36.90),$0.00,($36.90),$1.90,($636.45),($36.90),0.00%,($36.90),$0.00,($36.90),$0.00,($36.90),0.00,$35.00,$0.00,$36.90,0.40%,
6/10/2026,2,($646.50),($10.05),$30.60,($40.65),$3.80,($677.10),($40.65),50.00%,($5.03),$30.60,($40.65),$30.60,($40.65),300.00,$19.38,$16.25,$21.28,0.81%,
6/11/2026,2,($775.30),($128.80),$0.00,($128.80),$3.80,($775.30),($128.80),0.00%,($64.40),$0.00,($64.40),$0.00,($64.40),5.00,$62.50,$23.75,$88.15,0.81%,
6/23/2026,1,($758.45),$16.85,$16.85,$0.00,$1.90,($758.45),$0.00,100.00%,$16.85,$16.85,$0.00,$16.85,$0.00,0.00,$0.00,$18.75,$1.90,0.40%,
6/24/2026,2,($703.50),$54.95,$54.95,$0.00,$3.80,($741.60),$0.00,100.00%,$27.48,$27.48,$0.00,$38.10,$0.00,5.00,$6.88,$29.38,$1.90,0.81%,
6/25/2026,4,($1041.10),($337.60),$0.00,($337.60),$7.60,($1041.10),($337.60),0.00%,($84.40),$0.00,($84.40),$0.00,($84.40),20.00,$82.50,$16.88,$101.28,1.62%,
6/26/2026,2,($1034.90),$6.20,$6.20,$0.00,$3.80,($1038.00),$0.00,100.00%,$3.10,$3.10,$0.00,$3.10,$0.00,10.00,$6.25,$28.75,$25.65,0.81%,
7/2/2026,1,($1056.80),($21.90),$0.00,($21.90),$1.90,($1056.80),($21.90),0.00%,($21.90),$0.00,($21.90),$0.00,($21.90),0.00,$20.00,$0.00,$21.90,0.40%,
