Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
11/6/2025,1,($390.05),($30.65),$0.00,($30.65),$1.90,($390.05),($30.65),0.00%,($30.65),$0.00,($30.65),$0.00,($30.65),0.00,$28.75,$0.00,$30.65,0.42%,
11/7/2025,3,($354.50),$35.55,$59.95,($24.40),$5.70,($385.10),($24.40),66.67%,$11.85,$29.98,($24.40),$30.60,($24.40),5.00,$7.50,$37.08,$25.23,1.27%,
11/10/2025,1,($371.40),($16.90),$0.00,($16.90),$1.90,($371.40),($16.90),0.00%,($16.90),$0.00,($16.90),$0.00,($16.90),0.00,$15.00,$0.00,$16.90,0.42%,
11/12/2025,1,($352.05),$19.35,$19.35,$0.00,$1.90,($352.05),$0.00,100.00%,$19.35,$19.35,$0.00,$19.35,$0.00,0.00,$0.00,$21.25,$1.90,0.42%,
11/13/2025,2,($333.35),$18.70,$20.60,($1.90),$3.80,($333.35),($1.90),50.00%,$9.35,$20.60,($1.90),$20.60,($1.90),0.00,$0.00,$11.25,$1.90,0.84%,
11/14/2025,3,($292.80),$40.55,$53.70,($13.15),$5.70,($313.40),($13.15),66.67%,$13.52,$26.85,($13.15),$33.10,($13.15),120.00,$3.75,$19.17,$5.65,1.27%,
11/17/2025,2,($239.10),$53.70,$53.70,$0.00,$3.80,($278.45),$0.00,100.00%,$26.85,$26.85,$0.00,$39.35,$0.00,0.00,$0.00,$28.75,$1.90,0.84%,
11/18/2025,2,($282.90),($43.80),$0.00,($43.80),$3.80,($282.90),($43.80),0.00%,($21.90),$0.00,($21.90),$0.00,($21.90),5.00,$20.00,$13.75,$35.65,0.84%,
11/20/2025,2,($367.95),($85.05),$0.00,($85.05),$3.80,($367.95),($85.05),0.00%,($42.53),$0.00,($42.53),$0.00,($63.15),150.00,$40.63,$0.00,$42.53,0.84%,
11/21/2025,2,($393.00),($25.05),$8.10,($33.15),$3.80,($393.00),($33.15),50.00%,($12.53),$8.10,($33.15),$8.10,($33.15),205.00,$27.50,$13.13,$25.65,0.84%,
11/24/2025,1,($358.65),$34.35,$34.35,$0.00,$1.90,($358.65),$0.00,100.00%,$34.35,$34.35,$0.00,$34.35,$0.00,5.00,$13.75,$36.25,$1.90,0.42%,
12/1/2025,3,($364.35),($5.70),$0.00,($5.70),$5.70,($364.35),($5.70),0.00%,($1.90),$0.00,($1.90),$0.00,($1.90),20.00,$6.25,$23.75,$25.65,1.27%,
12/3/2025,4,($403.20),($38.85),$27.45,($66.30),$7.60,($430.65),($66.30),50.00%,($9.71),$13.73,($33.15),$14.35,($33.15),165.00,$15.63,$7.81,$17.53,1.69%,
12/4/2025,1,($398.85),$4.35,$4.35,$0.00,$1.90,($398.85),$0.00,100.00%,$4.35,$4.35,$0.00,$4.35,$0.00,5.00,$3.75,$10.00,$5.65,0.42%,
12/10/2025,1,($447.00),($48.15),$0.00,($48.15),$1.90,($447.00),($48.15),0.00%,($48.15),$0.00,($48.15),$0.00,($48.15),5.00,$46.25,$8.75,$56.90,0.42%,
12/11/2025,1,($421.40),$25.60,$25.60,$0.00,$1.90,($421.40),$0.00,100.00%,$25.60,$25.60,$0.00,$25.60,$0.00,10.00,$6.25,$27.50,$1.90,0.42%,
12/16/2025,1,($387.05),$34.35,$34.35,$0.00,$1.90,($387.05),$0.00,100.00%,$34.35,$34.35,$0.00,$34.35,$0.00,10.00,$8.75,$36.25,$1.90,0.42%,
12/17/2025,2,($370.85),$16.20,$18.10,($1.90),$3.80,($388.95),($1.90),50.00%,$8.10,$18.10,($1.90),$18.10,($1.90),5.00,$12.50,$26.25,$18.15,0.84%,
12/18/2025,1,($389.00),($18.15),$0.00,($18.15),$1.90,($389.00),($18.15),0.00%,($18.15),$0.00,($18.15),$0.00,($18.15),10.00,$16.25,$8.75,$26.90,0.42%,
12/29/2025,2,($340.30),$48.70,$48.70,$0.00,$3.80,($372.15),$0.00,100.00%,$24.35,$24.35,$0.00,$31.85,$0.00,10.00,$5.00,$26.25,$1.90,0.84%,
1/2/2026,1,($380.95),($40.65),$0.00,($40.65),$1.90,($380.95),($40.65),0.00%,($40.65),$0.00,($40.65),$0.00,($40.65),0.00,$38.75,$0.00,$40.65,0.42%,
1/5/2026,1,($389.10),($8.15),$0.00,($8.15),$1.90,($389.10),($8.15),0.00%,($8.15),$0.00,($8.15),$0.00,($8.15),0.00,$6.25,$0.00,$8.15,0.42%,
1/6/2026,3,($424.80),($35.70),$0.00,($35.70),$5.70,($424.80),($35.70),0.00%,($11.90),$0.00,($11.90),$0.00,($16.90),85.00,$10.00,$4.17,$16.07,1.27%,
1/8/2026,1,($406.70),$18.10,$18.10,$0.00,$1.90,($406.70),$0.00,100.00%,$18.10,$18.10,$0.00,$18.10,$0.00,0.00,$0.00,$20.00,$1.90,0.42%,
1/9/2026,2,($396.75),$9.95,$25.60,($15.65),$3.80,($396.75),($15.65),50.00%,$4.98,$25.60,($15.65),$25.60,($15.65),0.00,$6.88,$13.75,$8.78,0.84%,
1/13/2026,1,($373.65),$23.10,$23.10,$0.00,$1.90,($373.65),$0.00,100.00%,$23.10,$23.10,$0.00,$23.10,$0.00,0.00,$0.00,$25.00,$1.90,0.42%,
1/20/2026,3,($389.35),($15.70),$19.35,($35.05),$5.70,($389.35),($35.05),33.33%,($5.23),$19.35,($17.53),$19.35,($19.40),300.00,$10.42,$15.00,$20.23,1.27%,
1/21/2026,4,($428.20),($38.85),$1.20,($40.05),$7.60,($429.40),($40.05),50.00%,($9.71),$0.60,($20.03),$0.60,($31.90),355.00,$27.19,$15.31,$25.03,1.69%,
1/22/2026,2,($385.75),$42.45,$42.45,$0.00,$3.80,($418.85),$0.00,100.00%,$21.23,$21.23,$0.00,$33.10,$0.00,0.00,$0.00,$23.13,$1.90,0.84%,
1/23/2026,2,($427.05),($41.30),$0.00,($41.30),$3.80,($427.05),($41.30),0.00%,($20.65),$0.00,($20.65),$0.00,($20.65),10.00,$18.75,$20.00,$40.65,0.84%,
1/29/2026,1,($436.45),($9.40),$0.00,($9.40),$1.90,($436.45),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),0.00,$7.50,$0.00,$9.40,0.42%,
2/3/2026,4,($462.80),($26.35),$29.35,($55.70),$7.60,($490.25),($53.80),25.00%,($6.59),$29.35,($18.57),$29.35,($26.90),15.00,$12.50,$7.81,$14.40,1.69%,
2/4/2026,7,($259.85),$202.95,$208.65,($5.70),$13.30,($422.85),($3.80),57.14%,$28.99,$52.16,($1.90),$73.10,($1.90),300.00,$2.32,$34.29,$5.29,2.95%,
